rule_name,spec_text,cp_name_1,coverage_desc_1,cp_name_2,coverage_desc_2,cp_name_3,coverage_desc_3,cp_name_4,coverage_desc_4,cp_name_5,coverage_desc_5,cp_name_6,coverage_desc_6,cp_name_7,coverage_desc_7,cp_name_8,coverage_desc_8,cp_name_9,coverage_desc_9,cp_name_10,coverage_desc_10,cp_name_11,coverage_desc_11,cp_name_12,coverage_desc_12,cp_name_13,coverage_desc_13,cp_name_14,coverage_desc_14,cp_name_15,coverage_desc_15,cp_name_16,coverage_desc_16,cp_name_17,coverage_desc_17,cp_name_18,coverage_desc_18,cp_name_19,coverage_desc_19,cp_name_20,coverage_desc_20,cp_name_21,coverage_desc_21,cp_name_22,coverage_desc_22,cp_name_23,coverage_desc_23,coverage_status,explanation,gaps,cp_name_24,coverage_desc_24,cp_name_25,coverage_desc_25,cp_name_26,coverage_desc_26,cp_name_27,coverage_desc_27,cp_name_28,coverage_desc_28,cp_name_29,coverage_desc_29,cp_name_30,coverage_desc_30,cp_name_31,coverage_desc_31,cp_name_32,coverage_desc_32,cp_name_33,coverage_desc_33,cp_name_34,coverage_desc_34,cp_name_35,coverage_desc_35,cp_name_36,coverage_desc_36
vsadd_op,"Saturating forms of integer add and subtract are provided, for both signed and unsigned integers. ||| If the result would overflow the destination, the result is replaced with the closest representable value, and the vxsat bit is set.",cp_vs2_vs1_corners,"Coverpoint tests corner values of vs2/vs1 that cause saturating signed add to overflow, verifying the result is clamped to the closest representable value and vxsat is set",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The normative rule requires that saturating signed add clamps results to the closest representable value when overflow would occur, and that vxsat is set. The cp_vs2_vs1_corners coverpoint directly tests corner values of vs2/vs1 that cause saturating signed add to overflow, verifying both that the result is clamped and that vxsat is set. This covers the key behavioral aspects of the rule.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vssubu_op,"Saturating forms of integer add and subtract are provided, for both signed and unsigned integers. ||| If the result would overflow the destination, the result is replaced with the closest representable value, and the vxsat bit is set.",cp_vs2_vs1_corners,"Coverpoint tests corner values of vs2/vs1 that cause saturating unsigned subtract to overflow, verifying the result is clamped to the closest representable value and vxsat is set",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The normative rule specifies that saturating unsigned subtract should clamp the result to the closest representable value when overflow would occur, and set vxsat. The cp_vs2_vs1_corners coverpoint directly tests corner values of vs2/vs1 that cause saturating unsigned subtract to overflow, verifying both that the result is clamped and that vxsat is set. This covers all aspects of the rule for unsigned subtract saturation.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vssub_op,"Saturating forms of integer add and subtract are provided, for both signed and unsigned integers. ||| If the result would overflow the destination, the result is replaced with the closest representable value, and the vxsat bit is set.",cp_vs2_vs1_corners,"Coverpoint tests corner values of vs2/vs1 that cause saturating signed subtract to overflow, verifying the result is clamped to the closest representable value and vxsat is set",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The cp_vs2_vs1_corners coverpoint tests corner values of vs2/vs1 that cause saturating signed subtract to overflow, which directly verifies that the result is clamped to the closest representable value and that vxsat is set. This covers the normative rule's requirements for signed saturating subtract: overflow detection, result clamping, and vxsat setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vxsat_op_vsaddsub,"If the result would overflow the destination, the result is replaced with the closest representable value, and the vxsat bit is set.",cp_vs2_vs1_corners,Coverpoint explicitly checks that vxsat bit is set when saturating add/subtract overflows the destination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The coverpoint checks that vxsat is set when overflow occurs, but does not verify that the result is replaced with the closest representable value (saturation clamping).",No verification that the result is clamped to the closest representable value on overflow,,,,,,,,,,,,,,,,,,,,,,,,,,
vaaddu_op,"The averaging add and subtract instructions right shift the result by one bit and round off the result according to the setting in vxrm. Computation is performed in infinite precision before rounding and truncating. ||| For vasub and vasubu, overflow is ignored and the result wraps around.",cr_vxrm_vs2_rs1_edges,"cr_vxrm_vs2_rs1_edges exercises vaaddu.vx with all 4 vxrm modes crossed with vs2 and rs1 edge values, testing unsigned averaging add with rounding per vxrm.",cr_vxrm_vs2_vs1_edges,"cr_vxrm_vs2_vs1_edges tests vaaddu.vv with edge values of vs2 and vs1 crossed with all 4 rounding modes, exercising the unsigned averaging add rounding behavior.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The normative rule for vaaddu describes unsigned averaging add that right-shifts by one and rounds per vxrm. The two coverpoints cover both vaaddu.vv and vaaddu.vx forms, each crossing all 4 vxrm rounding modes with edge values of the source operands. This exercises the rounding behavior and the infinite-precision computation followed by truncation. The overflow/wraparound clause applies to vasub/vasubu, not vaaddu, so it is not a gap here.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vaadd_op,"The averaging add and subtract instructions right shift the result by one bit and round off the result according to the setting in vxrm. Computation is performed in infinite precision before rounding and truncating. ||| For vasub and vasubu, overflow is ignored and the result wraps around.",cr_vxrm_vs2_rs1_edges,"cr_vxrm_vs2_rs1_edges exercises vaadd.vx with all 4 vxrm modes crossed with vs2 and rs1 edge values, testing averaging add with rounding per vxrm.",cr_vxrm_vs2_vs1_edges,"cr_vxrm_vs2_vs1_edges tests vaadd.vv with edge values of vs2 and vs1 crossed with all 4 rounding modes, exercising the averaging add rounding behavior specified by vxrm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The coverpoints test vaadd.vv and vaadd.vx with all 4 vxrm rounding modes crossed with edge values, which covers the averaging add with rounding behavior. However, the normative rule also covers averaging subtract instructions (vasub, vasubu) and their overflow/wraparound behavior, which are not addressed by any coverpoint.",No coverage for vasub (averaging subtract) instruction; No coverage for vasubu (unsigned averaging subtract) instruction; No testing of overflow wraparound behavior for vasub/vasubu,,,,,,,,,,,,,,,,,,,,,,,,,,
vasubu_op,"The averaging add and subtract instructions right shift the result by one bit and round off the result according to the setting in vxrm. Computation is performed in infinite precision before rounding and truncating. ||| For vasub and vasubu, overflow is ignored and the result wraps around.",cr_vxrm_vs2_rs1_edges,"cr_vxrm_vs2_rs1_edges exercises vasubu.vx with all 4 vxrm modes crossed with vs2 and rs1 edge values, testing unsigned averaging subtract with rounding and wraparound overflow.",cr_vxrm_vs2_vs1_edges,"cr_vxrm_vs2_vs1_edges tests vasubu.vv with edge values of vs2 and vs1 crossed with all 4 rounding modes, exercising the unsigned averaging subtract rounding behavior.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The two coverpoints together cover all aspects of the normative rule for vasubu: cr_vxrm_vs2_vs1_edges covers vasubu.vv and cr_vxrm_vs2_rs1_edges covers vasubu.vx. Both test all 4 vxrm rounding modes crossed with edge values, which exercises the right-shift-by-one rounding behavior and wraparound overflow on unsigned averaging subtract.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vasub_op,"The averaging add and subtract instructions right shift the result by one bit and round off the result according to the setting in vxrm. Computation is performed in infinite precision before rounding and truncating. ||| For vasub and vasubu, overflow is ignored and the result wraps around.",cr_vxrm_vs2_rs1_edges,"cr_vxrm_vs2_rs1_edges exercises vasub.vx with all 4 vxrm modes crossed with vs2 and rs1 edge values, testing averaging subtract with rounding and wraparound overflow.",cr_vxrm_vs2_vs1_edges,"cr_vxrm_vs2_vs1_edges tests vasub.vv with edge values of vs2 and vs1 crossed with all 4 rounding modes, exercising the averaging subtract rounding behavior.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The coverpoints test vasub.vv and vasub.vx with all 4 vxrm rounding modes crossed with edge values, covering the averaging subtract with rounding behavior. However, the normative rule also covers vasubu (unsigned averaging subtract), which has no corresponding coverpoints. Additionally, the rule mentions vasub (signed) overflow wrapping and vasubu overflow wrapping, but only vasub variants are tested.",No coverpoints for vasubu.vv with vxrm modes and edge values; No coverpoints for vasubu.vx with vxrm modes and edge values,,,,,,,,,,,,,,,,,,,,,,,,,,
vsmul_op,"The signed fractional multiply instruction produces a 2*SEW product of the two SEW inputs, then shifts the result right by SEW-1 bits, rounding these bits according to vxrm, then saturates the result to fit into SEW bits. ||| If the result causes saturation, the vxsat bit is set.",cr_vxrm_vs2_vs1_edges,"cr_vxrm_vs2_vs1_edges tests vsmul.vv with edge values of vs2 and vs1 crossed with all 4 rounding modes, exercising the signed fractional multiply rounding and saturation behavior.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The coverpoint cr_vxrm_vs2_vs1_edges tests edge values of vs2 and vs1 crossed with all 4 rounding modes, which exercises the signed fractional multiply with different rounding behaviors. However, it does not explicitly verify that the vxsat bit is set when saturation occurs, nor does it specifically target the saturation condition (e.g., the most-negative × most-negative case that produces the only saturation scenario for signed fractional multiply).",No explicit check that vxsat CSR bit is set upon saturation; No dedicated coverpoint targeting the specific saturation condition (SEW-min × SEW-min producing overflow),,,,,,,,,,,,,,,,,,,,,,,,,,
vxsat_op_vsmul,"If the result causes saturation, the vxsat bit is set.",cr_vxrm_vs2_vs1_edges,"cr_vxrm_vs2_vs1_edges tests vsmul.vv with edge values (e.g., most-negative * most-negative) that can trigger saturation across different rounding modes, partially exercising the vxsat setting behavior.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The coverpoint cr_vxrm_vs2_vs1_edges tests edge values that can trigger saturation across rounding modes, which exercises vxsat being set. However, it only partially covers the rule: it focuses on edge-value inputs for vsmul.vv but does not explicitly verify that vxsat is actually read back and confirmed to be set after saturation, nor does it cover vsmul.vx. The rule states 'if the result causes saturation, the vxsat bit is set' which requires verifying the CSR bit state, not just providing saturating inputs.",No explicit check that vxsat CSR bit is read back and verified as set after a saturating operation; Missing coverage of vsmul.vx variant; No coverage of non-saturating cases to confirm vxsat is NOT set when saturation does not occur,,,,,,,,,,,,,,,,,,,,,,,,,,
vssrl_op,"These instructions shift the input value right, and round off the shifted out bits according to vxrm.  The scaling right shifts have both zero-extending (vssrl) and sign-extending (vssra) forms.  The data to be shifted is in the vector register group specified by vs2 and the shift amount value can come from a vector register group vs1, a scalar integer register rs1, or a zero-extended 5-bit immediate.",cr_vxrm_vs2_imm_edges,"vssrl.vi uses this coverpoint (variant=x), testing scaling right shift with zero-extension across vxrm modes and edge values of vs2 and immediate",cr_vxrm_vs2_vs1_edges,"cr_vxrm_vs2_vs1_edges tests vssrl.vv with edge values of vs2 (data) and vs1 (shift amount) crossed with all 4 rounding modes, exercising the scaling right shift rounding behavior.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The coverpoints test vssrl.vv (vector-vector) and vssrl.vi (vector-immediate) forms with edge values crossed with vxrm rounding modes, covering the zero-extending shift, rounding behavior, and two of three shift amount sources. However, the vssrl.vx (vector-scalar register) form is not covered by any listed coverpoint, leaving the rs1 scalar integer register shift amount source untested.",Missing coverage for vssrl.vx form where shift amount comes from a scalar integer register rs1,,,,,,,,,,,,,,,,,,,,,,,,,,
vssra_op,"These instructions shift the input value right, and round off the shifted out bits according to vxrm.  The scaling right shifts have both zero-extending (vssrl) and sign-extending (vssra) forms.  The data to be shifted is in the vector register group specified by vs2 and the shift amount value can come from a vector register group vs1, a scalar integer register rs1, or a zero-extended 5-bit immediate.",cr_vxrm_vs2_imm_edges,"vssra.vi uses this coverpoint (variant=x), testing scaling right shift with sign-extension across vxrm modes and edge values of vs2 and immediate",cr_vxrm_vs2_vs1_edges,"cr_vxrm_vs2_vs1_edges tests vssra.vv with edge values of vs2 (data) and vs1 (shift amount) crossed with all 4 rounding modes, exercising the sign-extending scaling right shift rounding behavior.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The coverpoints test vssra.vv (vector-vector) and vssra.vi (vector-immediate) forms with vxrm rounding modes and edge values, covering sign-extending scaling right shift behavior. However, the vssra.vx (vector-scalar register) form is missing - the spec explicitly states the shift amount can come from a scalar integer register rs1, but no coverpoint tests this form.",Missing coverage for vssra.vx (scalar integer register rs1 as shift amount source),,,,,,,,,,,,,,,,,,,,,,,,,,
vssrl_shamt,Only the low lg2(SEW) bits of the shift-amount value are used to control the shift amount.,cp_custom_vshift_upperbits_vs1_ones,"Tests that upper bits beyond lg2(SEW) in vs1 shift amount are ignored for scaling shift right logical, confirming only low lg2(SEW) bits control the shift",cp_imm_5bit,"cp_imm_5bit with variant=u exercises unsigned 5-bit immediate values for vssrl.vi, testing that only the low lg2(SEW) bits of the shift amount are used for scaling shift.",cr_vxrm_vs2_imm_edges,Immediate edge values for vssrl.vi exercise the low lg2(SEW) bits of the shift amount at boundary values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The normative rule states that only the low lg2(SEW) bits of the shift-amount value are used to control the shift amount. The coverpoints collectively cover this: cp_custom_vshift_upperbits_vs1_ones verifies that upper bits beyond lg2(SEW) in vs1 are ignored (vector-register shift amounts for vssrl.vv), cp_imm_5bit exercises the full range of unsigned 5-bit immediate values for vssrl.vi ensuring only low lg2(SEW) bits matter, and cr_vxrm_vs2_imm_edges tests boundary/edge values of the immediate shift amount. Together these cover both register-sourced (vs1) and immediate-sourced shift amounts, confirming upper bits are ignored and only low lg2(SEW) bits control the shift.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vssra_shamt,Only the low lg2(SEW) bits of the shift-amount value are used to control the shift amount.,cp_custom_vshift_upperbits_vs1_ones,"Tests that upper bits beyond lg2(SEW) in vs1 shift amount are ignored for scaling shift right arithmetic, confirming only low lg2(SEW) bits control the shift",cp_imm_5bit,"cp_imm_5bit with variant=u exercises unsigned 5-bit immediate values for vssra.vi, testing that only the low lg2(SEW) bits of the shift amount are used for scaling shift.",cr_vxrm_vs2_imm_edges,Immediate edge values for vssra.vi exercise the low lg2(SEW) bits of the shift amount at boundary values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The normative rule states that only the low lg2(SEW) bits of the shift-amount value are used to control the shift amount. The three coverpoints collectively cover this: cp_custom_vshift_upperbits_vs1_ones directly tests that upper bits beyond lg2(SEW) in vs1 are ignored (vector-register shift variant vssra.vv), cp_imm_5bit exercises the full range of unsigned 5-bit immediate values for vssra.vi ensuring the low bits control the shift, and cr_vxrm_vs2_imm_edges tests boundary/edge values of the immediate shift amount. Together these cover both the .vv (register) and .vi (immediate) shift-amount encodings, verifying that only the low lg2(SEW) bits matter.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vnclipu_op,"The vnclip instructions are used to pack a fixed-point value into a narrower destination.  The instructions support rounding, scaling, and saturation into the final destination format.  The source data is in the vector register group specified by vs2. The scaling shift amount value can come from a vector register group vs1, a scalar integer register rs1, or a zero-extended 5-bit immediate.",cp_ssstrictv_narrowing_vs2_sew_eq_elen,Coverpoint tests vnclipu as one of the narrowing instructions that should trap when SEW=ELEN,cr_vxrm_vs2_rs1_edges,"cr_vxrm_vs2_rs1_edges with wx variant exercises vnclipu.wx with edge values and all rounding modes, testing the narrowing clip pack operation with rounding, scaling, and saturation.",cr_vxrm_vs2_imm_edges,"vnclipu.wi uses this coverpoint (variant=wi), testing narrowing unsigned clip with rounding and saturation across edge values",cr_vxrm_vs2_vs1_edges,"cr_vxrm_vs2_vs1_edges with wv variant tests vnclipu.wv with double-width vs2 edge values and normal-width vs1 edge values crossed with all 4 rounding modes, exercising the narrowing clip pack operation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The normative rule describes vnclipu as a narrowing clip instruction that packs fixed-point values into a narrower destination with rounding, scaling, and saturation. The shift amount can come from vs1 (vector), rs1 (scalar integer), or a 5-bit immediate. The coverpoints cover: (1) cr_vxrm_vs2_vs1_edges tests vnclipu.wv with vector shift source, (2) cr_vxrm_vs2_rs1_edges tests vnclipu.wx with scalar register shift source, (3) cr_vxrm_vs2_imm_edges tests vnclipu.wi with immediate shift source. All three source variants are covered. Each exercises rounding modes (vxrm) and edge values for saturation/scaling behavior. Additionally, cp_ssstrictv_narrowing_vs2_sew_eq_elen tests the narrowing aspect with SEW=ELEN trapping behavior.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vnclip_op,"The vnclip instructions are used to pack a fixed-point value into a narrower destination.  The instructions support rounding, scaling, and saturation into the final destination format.  The source data is in the vector register group specified by vs2. The scaling shift amount value can come from a vector register group vs1, a scalar integer register rs1, or a zero-extended 5-bit immediate.",cp_ssstrictv_narrowing_vs2_sew_eq_elen,Coverpoint tests vnclip as one of the narrowing instructions that should trap when SEW=ELEN,cr_vxrm_vs2_rs1_edges,"cr_vxrm_vs2_rs1_edges with wx variant exercises vnclip.wx with edge values and all rounding modes, testing the signed narrowing clip operation.",cr_vxrm_vs2_imm_edges,"vnclip.wi uses this coverpoint (variant=wi), testing narrowing signed clip with rounding and saturation across edge values",cr_vxrm_vs2_vs1_edges,"cr_vxrm_vs2_vs1_edges with wv variant tests vnclip.wv with double-width vs2 edge values and normal-width vs1 edge values crossed with all 4 rounding modes, exercising the signed narrowing clip operation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The normative rule describes vnclip instructions that pack fixed-point values into narrower destinations with rounding, scaling, and saturation. The shift amount can come from three sources: vector register (vs1), scalar register (rs1), or 5-bit immediate. The coverpoints cover all three variants: cr_vxrm_vs2_vs1_edges tests vnclip.wv (vector source), cr_vxrm_vs2_rs1_edges tests vnclip.wx (scalar register source), cr_vxrm_vs2_imm_edges tests vnclip.wi (immediate source). All three test rounding modes and edge values, exercising the rounding, scaling, and saturation behavior. Additionally, cp_ssstrictv_narrowing_vs2_sew_eq_elen tests the narrowing aspect with SEW=ELEN trapping behavior.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vnclipu_shamt,"The low lg2(2*SEW) bits of the vector or scalar shift-amount value (e.g., the low 6 bits for a SEW=64-bit to SEW=32-bit narrowing operation) are used to control the right shift amount, which provides the scaling.",cp_custom_vshiftn_upperbits_vs1_ones,Coverpoint tests the same lg2(2*SEW) shift amount masking behavior that applies to narrowing clip instructions by setting upper bits to ones,cp_imm_5bit,"cp_imm_5bit with variant=u exercises unsigned 5-bit immediate values for vnclipu.wi, testing that the low lg2(2*SEW) bits of the zero-extended immediate control the narrowing clip shift amount.",cr_vxrm_vs2_rs1_edges,"cr_vxrm_vs2_rs1_edges with wx variant tests vnclipu.wx with rs1 edge values as shift amounts, exercising the low lg2(2*SEW) bits controlling the right shift scaling.",cr_vxrm_vs2_imm_edges,Immediate edge values for vnclipu.wi exercise the low lg2(2*SEW) bits of the narrowing shift amount at boundary values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The normative rule specifies that the low lg2(2*SEW) bits of the shift-amount value control the right shift amount for narrowing clip operations. The coverpoints collectively cover: (1) masking behavior where upper bits beyond lg2(2*SEW) are ignored (cp_custom_vshiftn_upperbits_vs1_ones), (2) immediate shift amounts for vnclipu.wi across the 5-bit unsigned range (cp_imm_5bit with u variant), (3) scalar register shift amounts for vnclipu.wx at edge values (cr_vxrm_vs2_rs1_edges with wx variant), and (4) immediate edge values exercising boundary conditions (cr_vxrm_vs2_imm_edges). Together these test all three instruction forms (.vv via upper bits test, .wx, .wi) and verify both the bit-masking behavior and the shift amount's role in controlling scaling.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vnclip_shamt,"The low lg2(2*SEW) bits of the vector or scalar shift-amount value (e.g., the low 6 bits for a SEW=64-bit to SEW=32-bit narrowing operation) are used to control the right shift amount, which provides the scaling.",cp_custom_vshiftn_upperbits_vs1_ones,Coverpoint tests the same lg2(2*SEW) shift amount masking behavior that applies to narrowing clip instructions by setting upper bits to ones,cp_imm_5bit,"cp_imm_5bit with variant=u exercises unsigned 5-bit immediate values for vnclip.wi, testing that the low lg2(2*SEW) bits of the zero-extended immediate control the narrowing clip shift amount.",cr_vxrm_vs2_rs1_edges,"cr_vxrm_vs2_rs1_edges with wx variant tests vnclip.wx with rs1 edge values as shift amounts, exercising the low lg2(2*SEW) bits controlling the right shift scaling.",cr_vxrm_vs2_imm_edges,Immediate edge values for vnclip.wi exercise the low lg2(2*SEW) bits of the narrowing shift amount at boundary values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The normative rule specifies that the low lg2(2*SEW) bits of the shift-amount value control the right shift amount for narrowing clip operations. The coverpoints collectively cover: (1) masking behavior where upper bits beyond lg2(2*SEW) are ignored (cp_custom_vshiftn_upperbits_vs1_ones sets upper bits to ones to verify only low bits matter), (2) immediate operand shift amounts via 5-bit unsigned immediates (cp_imm_5bit with u variant for vnclip.wi), (3) scalar register shift amounts with edge values (cr_vxrm_vs2_rs1_edges for vnclip.wx), and (4) immediate edge values exercising boundary conditions (cr_vxrm_vs2_imm_edges for vnclip.wi). The vector shift source (vs1) upper-bit masking is tested by cp_custom_vshiftn_upperbits_vs1_ones. All three instruction variants (.vv via upper bits test, .wx via rs1 edges, .wi via imm tests) and the core lg2(2*SEW) masking behavior are covered.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vnclipu_overflow,"For vnclipu, the shifted rounded source value is treated as an unsigned integer and saturates if the result would overflow the destination viewed as an unsigned integer.",cr_vxrm_vs2_rs1_edges,"cr_vxrm_vs2_rs1_edges with wx variant uses edge values for vs2 and rs1 that can trigger unsigned saturation in vnclipu.wx, partially covering overflow detection.",cr_vxrm_vs2_imm_edges,Edge values of double-width vs2 combined with immediate shift amounts for vnclipu.wi are likely to trigger unsigned saturation overflow conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The two coverpoints cover vnclipu.wx and vnclipu.wi variants using edge values for vs2/rs1/imm combined with vxrm rounding modes, which can trigger unsigned saturation overflow. However, the vnclipu.wv variant (where the shift amount comes from a vector register vs1) is not covered by any listed coverpoint.",Missing coverage for vnclipu.wv variant where shift amount is from vector register vs1,,,,,,,,,,,,,,,,,,,,,,,,,,
vnclip_overflow,"For vnclip, the shifted rounded source value is treated as a signed integer and saturates if the result would overflow the destination viewed as a signed integer.",cr_vxrm_vs2_rs1_edges,"cr_vxrm_vs2_rs1_edges with wx variant uses edge values for vs2 and rs1 that can trigger signed saturation in vnclip.wx, partially covering overflow detection.",cr_vxrm_vs2_imm_edges,Edge values of double-width vs2 combined with immediate shift amounts for vnclip.wi are likely to trigger signed saturation overflow conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The two coverpoints cover vnclip.wx and vnclip.wi variants with edge values designed to trigger signed saturation overflow. However, the vnclip.wv variant (vector-vector shift) is not covered by any listed coverpoint. Additionally, the coverpoints focus on edge values but may not systematically verify that the result is correctly saturated to the signed min/max of the destination width across all rounding modes.",vnclip.wv variant is not covered - only wx and wi variants have coverpoints; No explicit verification that saturated results equal the correct signed min/max bounds for the narrower destination element width,,,,,,,,,,,,,,,,,,,,,,,,,,
vxsat_op_vnclip_u,"If any destination element is saturated, the vxsat bit is set in the vxsat register.",cr_vxrm_vs2_imm_edges,"Edge value combinations in vnclipu.wi and vnclip.wi that cause saturation will set the vxsat bit, partially exercising this rule",cr_vxrm_vs2_vs1_edges,"cr_vxrm_vs2_vs1_edges with wv variant tests vnclip/vnclipu with edge values that are likely to trigger saturation across different rounding modes, partially exercising the vxsat setting behavior.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The coverpoints test edge value combinations that are 'likely to trigger saturation' for vnclip and vnclipu instructions, but they only partially exercise the vxsat setting behavior. The coverage has gaps in explicitly verifying the vxsat bit is actually set (not just triggering saturation conditions), and in systematically covering all saturation scenarios beyond edge values.","No coverpoint explicitly verifies that the vxsat CSR bit is read back as set after saturation occurs; Coverage relies on edge values that are 'likely' to cause saturation rather than guaranteed saturation scenarios; No coverage of non-edge-value inputs that still cause saturation (e.g., large positive values narrowed to smaller widths); No coverage of vnclipu.wv and vnclip.wv with non-edge vs1 shift amounts that produce saturation",,,,,,,,,,,,,,,,,,,,,,,,,,
V_fp_EEW_IEEE_nsupported_rsv,"If the EEW of a vector floating-point operand does not correspond to a supported IEEE floating-point type, the instruction encoding is reserved.",cp_ssstrictv_vfp_eew_unsupported,"Coverpoint tests FP instructions with EEW not corresponding to supported IEEE FP type (SEW=8, or SEW=64 without D), which is exactly the reserved encoding this rule describes.",cp_ssstrictv_vfp_widen_eew_unsupported,"Coverpoint directly tests that widening/narrowing FP instructions with unsupported wider operand EEW (e.g., EEW=64 when FLEN=32) are treated as reserved and trap",cp_ssstrictv_widen_max_sew,"For floating-point widening instructions, when SEW=ELEN the destination EEW=2*SEW does not correspond to a supported IEEE FP type, confirming the encoding is reserved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The three coverpoints collectively cover all aspects of the normative rule. cp_ssstrictv_vfp_eew_unsupported tests standard FP instructions where the operand EEW doesn't match a supported IEEE FP type (SEW=8 which has no IEEE FP type, SEW=64 without D extension). cp_ssstrictv_vfp_widen_eew_unsupported covers widening/narrowing FP instructions where the wider operand EEW is unsupported (e.g., EEW=64 when FLEN=32). cp_ssstrictv_widen_max_sew covers the specific case of FP widening at maximum SEW where the destination EEW=2*SEW exceeds supported types. Together these cover all scenarios where a vector FP operand's EEW does not correspond to a supported IEEE FP type.",,,,,,,,,,,,,,,,,,,,,,,,,,,
mstatus-FS_off_V_fp_ill,If the floating-point unit status field mstatus.FS is Off then any attempt to execute a vector floating-point instruction will raise an illegal-instruction exception.,cp_mstatus_vs_off / cp_vsstatus_vs_off,Feature covered explicitly states: if mstatus.FS is Off then vector floating-point instruction raises illegal-instruction exception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The normative rule states that if mstatus.FS is Off, any vector floating-point instruction raises an illegal-instruction exception. The coverpoints cp_mstatus_vs_off and cp_vsstatus_vs_off explicitly cover this scenario - their feature description directly matches the spec text, testing that mstatus.FS=Off causes vector floating-point instructions to raise illegal-instruction exceptions. The vsstatus variant covers the virtualized case.",,,,,,,,,,,,,,,,,,,,,,,,,,,
mstatus-FS_dirty_V_fp,"Any vector floating-point instruction that modifies any floating-point extension state (i.e., floating-point CSRs or f registers) must set mstatus.FS to Dirty.",cp_custom_vfp_register_state_mstatus_dirty,"The coverpoint directly tests that a vector floating-point instruction (vfmove) that modifies floating-point register state sets mstatus.FS to Dirty, which is exactly what this rule requires.",cp_custom_vfp_csr_state_mstatus_dirty,"The coverpoint directly tests that a vector floating-point instruction (vfrsqrt7.v) that sets FP exception flags (by using vs2=0 input) causes mstatus.FS to be set to Dirty, which is exactly what this rule requires.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The rule requires that any vector FP instruction modifying FP extension state (FP CSRs or f registers) must set mstatus.FS to Dirty. The two coverpoints cover both categories: cp_custom_vfp_register_state_mstatus_dirty tests modification of f registers (via vfmove), and cp_custom_vfp_csr_state_mstatus_dirty tests modification of FP CSRs (exception flags via vfrsqrt7.v with vs2=0). Together they cover the full scope of 'floating-point extension state' mentioned in the rule.",,,,,,,,,,,,,,,,,,,,,,,,,,,
